username,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,total
kurstboy,31,57,57,108,116,214,390,497,389,215,2074
schaffrillas,27,83,78,84,110,199,238,253,154,82,1308
jay,39,66,103,149,189,256,282,303,82,29,1498
deathproof,26,96,121,207,279,453,529,446,258,131,2546
davidehrlich,37,72,191,341,454,724,622,451,190,97,3179
thejoshl,0,254,0,897,0,1901,0,1560,0,435,5047
ingridgoeswest,80,104,81,131,158,252,339,560,372,311,2388
colonelmortimer,21,127,203,524,629,1545,1211,900,223,142,5525
silentdawn,45,125,135,318,487,701,1061,1113,870,454,5309
framesofnick,62,93,56,113,117,211,171,303,148,177,1451
suspirliam,14,31,39,109,170,498,769,1010,402,461,3503
aarnwlsn,20,25,35,103,95,234,191,304,175,226,1408
superpulse,51,133,197,332,449,633,717,561,212,113,3398
zoerosebryant,127,195,270,385,558,796,1148,829,370,295,4973
davidlsims,30,203,185,481,363,899,789,847,511,575,4883
jaragon23,12,39,108,147,197,277,357,443,222,160,1962
brat,8,32,39,97,131,302,551,597,224,83,2064
sapphicquinn,41,84,63,99,96,197,167,251,93,158,1249
tototoro,63,112,51,105,110,177,187,191,67,98,1161
sophiedarcy,42,53,80,146,223,467,558,508,291,142,2510
usercillian,25,45,57,73,85,202,284,429,189,164,1553
childrenofmen,16,27,29,119,144,352,434,475,158,181,1935
jeaba,13,18,29,69,69,201,273,219,118,71,1080
jonathanfujii,29,42,86,175,227,368,370,310,126,62,1795
dirkh,178,388,240,622,470,908,565,825,249,309,4754
itsrambb,333,312,382,403,350,468,735,923,486,418,4810
georgecarmi,42,49,71,98,162,161,230,245,169,108,1335
stk5,15,25,59,95,121,177,169,162,97,90,1010
franhoepfner,19,75,85,229,71,408,380,488,284,114,2153
eely,30,129,158,396,485,654,614,555,127,100,3248
fuchsiadyke,143,262,355,519,761,1114,1380,1251,393,155,6333
elementarii,0,284,0,381,0,426,0,341,0,126,1558
nycsubwayrat,21,32,25,54,63,124,182,261,167,156,1085
siooo,8,27,22,60,74,168,230,302,173,191,1255
lilithritter,35,94,57,157,180,390,384,428,268,175,2168
elihayes,29,62,99,133,160,194,3277,3432,2810,287,10483
leeyim,16,17,25,50,91,252,349,416,246,191,1653
darrencb,29,58,101,171,301,552,748,985,678,130,3753
kfavs,10,43,46,169,127,419,359,634,187,213,2207
barbiesswanlake,62,132,79,210,171,546,432,542,587,430,3191
mrmoviesrd,14,31,51,310,796,2455,2765,2264,721,131,9538
kun,21,120,185,308,368,503,375,444,239,106,2669
willhunting,79,109,68,187,67,331,244,362,104,173,1724
davidfinchher,40,76,165,204,284,384,440,570,351,69,2583
hollieamanda,11,60,97,153,231,302,278,245,116,48,1541
comrade_yui,0,762,0,854,0,1213,0,1068,0,1380,5277
ilyclemmie,49,86,65,102,153,222,305,350,172,83,1587
ellakemp,3,14,21,171,242,606,614,688,217,125,2701
sethsreviews,38,97,194,268,353,519,478,425,216,83,2671
henryspencerirl,31,17,11,51,77,196,172,437,283,487,1762
cantinaband,98,96,97,112,143,250,240,310,272,477,2095
ellefnning,6,38,17,78,56,149,149,240,141,132,1006
will_sloan,20,103,92,144,122,218,109,272,147,395,1622
filipe_furtado,30,266,767,2148,2047,3878,2539,1646,541,219,14081
cobbb,158,143,122,188,193,313,341,392,292,418,2560
juggernaut323,192,365,614,860,1296,1760,1773,1474,773,409,9516
artwithin,54,56,56,73,125,208,260,323,177,221,1553
timtamtitus,12,21,62,142,164,170,226,245,144,46,1232
hewasthrfriendd,17,56,71,192,246,385,462,587,333,185,2534
jlalibs,10,216,130,464,746,2338,1588,2032,470,371,8365
moviesrtherapy,10,31,41,97,176,289,319,357,198,164,1682
russman,55,109,245,772,1409,3287,3562,1349,266,42,11096
coffeevirus,151,132,150,238,200,373,383,519,313,414,2873
alor,21,38,50,70,139,251,303,300,212,159,1543
menslaughter,81,89,129,170,204,272,231,184,164,129,1653
ceryslovesfilm,68,41,56,55,70,183,193,245,161,140,1212
estheronfilm,79,145,58,112,79,170,163,291,189,230,1516
nevermore1985,354,584,518,1187,1603,1937,1801,1921,631,497,11033
davechen,24,33,52,82,90,172,312,482,161,155,1563
seanfennessey,3,40,106,298,472,650,474,340,133,139,2655
screeningnotes,0,166,0,632,0,1245,0,1138,0,525,3706
kyledunne,14,65,69,147,153,214,229,250,143,97,1381
jack,10,27,46,147,471,876,1881,1304,358,69,5189
niceguys,12,32,34,97,175,233,205,197,95,61,1141
sophiaplanos,20,45,61,132,154,231,245,224,91,33,1236
bethanyinfilm,75,210,71,428,237,606,407,648,335,238,3255
iovewitch,139,244,275,505,485,764,661,549,256,308,4186
hauteprincesses,20,34,59,132,215,421,717,676,227,81,2582
arkhamoutlaw10,0,1075,0,1690,0,2087,0,1975,0,1713,8540
hstrawberry,44,35,53,58,154,281,461,306,156,39,1587
kyloz,7,10,29,101,144,368,570,598,198,193,2218
demyvarda,84,156,168,174,244,442,440,415,270,88,2481
cinemavoid,31,183,104,569,436,1121,1000,1032,266,106,4848
clairacurtis,59,97,90,211,237,585,467,750,356,446,3298
kristenyoonsoo,22,33,73,153,263,487,617,512,138,50,2348
jjbjr,9,35,52,88,137,291,238,217,71,118,1256
dakotajoaquin,15,34,38,79,97,95,212,227,186,140,1123
alovelynite,105,225,192,439,503,1082,886,844,284,316,4876
whentheometfilm,3,11,48,120,254,485,394,284,139,84,1822
phrynefisher,34,67,71,106,79,146,132,160,95,113,1003
jakepcole,33,94,176,221,192,436,760,1230,705,495,4342
sarahlovett,6,15,11,42,48,115,156,257,198,253,1101
andredenervaux,54,104,92,112,119,376,614,717,453,240,2881
cuqui,16,43,41,126,139,258,257,342,176,233,1631
settingsun,50,252,385,634,1148,1312,2322,2211,854,156,9324
zoltarak,9,18,22,108,238,756,1404,2228,1668,1171,7622
dave,1,9,26,70,113,197,329,451,263,100,1559
gemko,14,71,199,648,1752,2079,1537,556,280,77,7213
justinwuah,44,90,79,127,169,293,321,349,205,105,1782
shookone,385,763,955,840,928,754,824,585,309,117,6460
ihe,163,188,99,173,139,255,170,296,90,131,1704
incomingmail,6,44,93,105,139,244,531,439,186,104,1891
tonyterror,34,63,64,148,254,467,596,818,490,412,3346
mancarrying,10,20,31,85,92,154,161,256,99,217,1125
yazzjames,17,49,115,231,272,339,280,256,112,33,1704
catelyn,21,76,66,126,134,317,398,499,315,167,2119
hauntedhippie,41,90,82,165,208,290,303,295,163,103,1740
yijian,14,35,8,52,36,137,140,236,147,252,1057
jurassicstark,4,25,27,113,108,307,357,596,289,236,2062
apocalypsenow,12,27,18,50,59,153,166,273,155,119,1032
mildredsfierce,14,49,39,163,193,517,746,774,352,179,3026
impressionblend,14,55,69,245,278,497,470,426,236,107,2397
elcochran90,57,71,197,423,501,560,637,786,624,1084,4940
ashmatxx,66,133,108,280,260,479,471,515,288,145,2745
justindecloux,18,70,135,346,577,1132,1670,1761,255,241,6205
pd187,32,97,109,177,267,513,642,959,658,539,3993
seahorseronan,34,30,54,123,126,410,494,492,272,112,2147
jbird26,3,19,68,318,877,1699,1734,1112,237,83,6150
paulswhtn,3,5,21,46,93,224,377,656,558,252,2235
marianjune,24,19,16,62,51,138,153,313,57,183,1016
thomasflight,2,2,11,33,63,192,303,331,129,69,1135
mardarrius,19,20,46,171,232,376,384,449,140,69,1906
jbouie,4,15,62,171,147,340,361,356,156,62,1674
allicinema,394,750,941,1319,3615,9451,4357,1232,254,270,22583
neilbahadur,49,107,46,167,97,228,277,574,276,559,2380
sharktale,336,761,545,885,585,910,485,397,128,108,5140
dirkbogarde,61,83,84,127,148,309,476,752,719,704,3463
traintobusan,18,49,46,107,217,488,647,652,351,269,2844
theendofcinema,3,8,33,117,212,449,997,1502,741,512,4574
pointbreakfan,60,95,122,314,432,620,620,488,208,158,3117
benjigotfried,84,132,152,298,283,557,610,747,549,167,3579
mcumagik,66,77,96,225,281,535,505,702,373,593,3453
jakeperalta,58,145,203,524,645,1014,978,845,279,154,4845
dselwyns,187,203,279,403,436,748,917,882,461,299,4815
funeralroses,43,85,53,170,217,291,506,284,189,68,1906
citizenhal,205,168,193,271,364,600,578,386,214,186,3165
rudimh,11,57,66,134,107,182,244,242,176,86,1305
thejoelynch,17,25,19,86,233,746,896,709,99,99,2929
itsnacool,106,306,62,281,230,604,635,739,168,136,3267
vontrapp,78,269,345,463,761,1029,733,434,182,55,4349
jaimerebanal,444,566,617,740,906,2054,2134,2035,1906,1793,13195
austinburke,80,145,172,427,485,477,606,499,254,115,3260
annreinking,14,58,74,247,326,822,841,636,110,30,3158
breramjit,14,43,27,76,72,162,137,226,78,176,1011
heyitsvasili,30,84,97,196,360,627,674,760,302,183,3313
roberto_,0,26,0,125,0,421,0,658,0,350,1580
cinemaclown,10,45,77,168,201,420,573,442,128,83,2147
dahans,41,45,105,185,251,326,285,261,192,156,1847
cevangelista413,11,31,79,134,330,524,713,696,304,167,2989
chatterb0xd,70,33,51,145,106,268,294,387,223,219,1796
flynnryder,10,33,59,116,158,305,265,250,147,111,1454
taylorfilmguy,0,82,0,148,0,453,0,795,0,255,1733
hepburnluv,22,55,63,155,186,454,444,500,187,69,2135
jakealdacoffey,251,408,586,932,730,1198,1619,1484,607,366,8181
qmoviereviews,77,142,159,239,335,455,543,506,169,64,2689
adaydreaming,402,310,213,436,334,674,457,459,241,321,3847
cathyk,6,12,11,67,102,305,219,308,82,55,1167
briantt,26,168,210,440,533,778,838,557,230,175,3955
theblogosfear,27,87,75,275,364,506,396,255,16,108,2109
annanomaly,15,178,272,689,828,1240,1202,1187,634,575,6820
letmeexplain,15,148,149,647,479,966,910,760,112,59,4245
kevintporter,15,28,26,57,40,127,227,335,151,150,1156
elsergiomunoz,11,13,37,67,141,252,532,579,325,289,2246
theriverjordan,33,70,109,280,296,699,743,946,481,533,4190
evilbjork,77,192,321,706,1286,2772,2198,1319,262,100,9233
pobrecito,5,17,18,51,111,477,604,684,354,281,2602
etolkin,6,13,13,37,67,204,347,477,259,358,1781
todd_gaines,11,7,27,72,109,379,409,369,106,31,1520
timcop,27,82,94,163,324,881,1421,1641,1131,558,6322
zaragwen,465,639,667,998,1018,1298,1077,775,450,434,7821
madihatesfilm,17,58,85,441,328,876,1127,872,58,123,3985
chrisvfeil,36,178,267,590,590,828,1115,1216,445,427,5692
chloeac,29,59,164,262,352,336,419,356,104,167,2248
mr_dulac,47,179,161,512,389,1362,1500,1464,646,159,6419
lucyskeet,8,7,24,109,251,482,393,429,210,107,2020
oliviathebi,180,255,211,237,235,307,407,401,346,251,2830
oppenmommy,15,38,54,123,169,276,268,227,120,84,1374
